name,colors,cards,mb_multipliers,sb_multipliers
GSZ,G,"Green Sun's Zenith/4|Dryad Arbor/1|Scavenging Ooze/.71|Questing Beast/.71|Tireless Tracker/.3|Noble Hierarch/2|Gilded Goose/.071|Uro, Titan of Nature's Wrath/1.5",Ice-Fang Coatl/2,Collector Ouphe/2.5
Worldgorger,UBG,Worldgorger Dragon/1|Animate Dead/4|Duskmantle Guildmage/1|Ice-Fang Coatl/4|Entomb/4,,
RIP_Helm,UW,Rest in Peace/4|Helm of Obedience/4|Energy Field/2|Enlightened Tutor/2,"Dreadhorde Arcanist/0|Uro, Titan of Nature's Wrath/0",
Wheels,U,"Narset, Parter of Veils/1.8|Hullbreacher/2|Day's Undoing/2","Narset, Parter of Veils/1.2|Hullbreacher/1.2",
PFire_Dack,URG,Dack Fayden/2.2|Punishing Fire/2.6|Grove of the Burnwillows/3.1,Cling to Dust/2|Cephalid Coliseum/2|Karakas/2,Wasteland/3|Crop Rotation/3|Bojuka Bog/2|Life from the Loam/2.5
